mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
191200366,5.3,14,0,6.1,8,5,6.3,14,3,6.3,14,2,5.8,9,0,6.0,9,0,5.2,3,0,8.2,12,0,Trung bình
191203116,6.3,14,0,7.6,13,0,6.2,17,0,8.1,14,2,6.9,9,0,7.0,9,0,10.0,3,0,9.3,12,0,Khá
191201233,7.7,14,0,8.9,13,0,8.4,17,0,8.9,16,0,8.7,9,0,9.6,9,0,9.4,3,0,9.5,12,0,Xuất sắc
191201611,6.6,14,0,8.9,13,0,7.3,17,0,8.4,16,0,6.9,9,0,7.7,9,0,8.5,3,0,8.7,12,0,Giỏi
191200461,8.3,14,0,7.2,13,0,6.7,17,0,8.5,16,0,8.3,9,0,7.9,9,0,9.7,3,0,8.8,12,0,Giỏi
191201763,7.6,14,0,7.6,10,3,7.2,14,3,7.8,16,0,7.4,9,0,6.7,9,0,9.2,3,0,8.1,12,0,Khá
191204186,6.6,14,0,7.0,13,0,7.6,17,0,7.7,16,0,7.2,9,0,7.0,9,0,7.3,3,0,8.4,12,0,Khá
191200490,7.8,12,2,8.7,13,0,8.2,17,0,8.9,16,0,8.4,9,0,8.9,9,0,9.7,3,0,8.8,12,0,Giỏi
191200532,6.6,14,0,8.3,13,0,6.2,17,0,8.4,16,0,7.6,9,0,7.7,9,0,8.8,3,0,9.2,12,0,Giỏi
191214485,8.2,14,0,7.3,13,0,7.0,17,0,7.6,16,0,7.4,9,0,8.1,9,0,8.0,3,0,8.4,12,0,Khá
191212068,8.5,14,0,7.3,13,0,6.6,17,0,8.2,16,0,8.1,9,0,6.5,9,0,6.7,3,0,8.4,12,0,Khá
191203978,8.5,14,0,8.6,13,0,7.9,17,0,9.1,16,0,7.4,9,0,6.9,9,0,7.6,3,0,8.3,12,0,Giỏi
191203712,7.4,14,0,7.2,13,0,6.8,17,0,8.1,16,0,6.8,9,0,8.3,9,0,9.0,3,0,8.3,12,0,Khá
191200674,6.6,11,3,7.1,13,0,7.1,17,0,7.9,16,0,7.1,9,0,8.3,9,0,8.6,3,0,7.8,12,0,Khá
191200706,8.4,14,0,8.0,13,0,7.2,17,0,8.6,16,0,9.0,9,0,8.7,6,3,7.6,3,0,8.8,12,0,Giỏi
191203301,8.2,14,0,7.6,13,0,6.9,17,0,8.5,16,0,8.6,9,0,9.0,9,0,9.2,3,0,9.0,12,0,Giỏi
191211657,6.6,14,0,6.9,13,0,6.3,17,0,8.0,16,0,7.4,9,0,6.9,9,0,7.6,3,0,7.3,12,0,Khá
191212555,8.2,14,0,6.7,13,0,7.5,17,0,7.5,16,0,7.4,9,0,8.1,9,0,7.8,3,0,8.4,12,0,Khá
191200833,5.6,14,0,7.8,11,2,6.5,14,3,7.9,16,0,5.7,9,0,5.8,9,0,9.0,3,0,7.2,2,10,Khá
191214304,7.3,14,0,6.5,11,2,6.3,17,0,7.3,16,0,6.2,9,0,5.3,9,0,6.7,3,0,7.5,12,0,Khá
191203796,9.0,14,0,7.8,13,0,7.1,17,0,8.8,16,0,7.6,9,0,6.9,9,0,8.7,3,0,8.4,12,0,Khá
191214315,6.9,14,0,6.9,13,0,6.6,17,0,7.9,14,2,7.4,9,0,6.8,9,0,7.2,3,0,8.1,12,0,Khá
191212129,7.6,14,0,7.6,13,0,7.2,17,0,7.6,16,0,6.8,9,0,6.9,9,0,8.3,3,0,8.2,12,0,Khá
191201335,8.8,14,0,8.5,13,0,8.1,17,0,9.0,16,0,7.9,9,0,8.4,9,0,8.0,3,0,9.2,12,0,Giỏi
191212346,7.8,14,0,6.7,13,0,7.9,17,0,8.7,16,0,8.7,9,0,9.3,9,0,9.9,3,0,7.9,12,0,Giỏi
191213491,7.0,14,0,7.7,10,3,6.2,17,0,8.2,16,0,6.1,9,0,6.4,9,0,8.4,3,0,8.2,12,0,Khá
191203508,8.0,11,3,6.0,13,0,6.7,14,3,7.6,14,2,7.7,9,0,7.3,9,0,7.7,3,0,8.7,12,0,Khá
191203520,7.6,14,0,7.1,13,0,6.5,14,3,7.7,16,0,7.3,9,0,6.1,9,0,6.2,3,0,6.8,12,0,Khá
191211450,7.5,14,0,8.8,13,0,7.4,17,0,8.3,16,0,7.5,9,0,6.0,9,0,6.1,3,0,8.5,12,0,Khá
191214606,8.2,14,0,8.3,13,0,7.9,17,0,8.4,16,0,8.7,9,0,7.1,9,0,8.5,3,0,8.5,12,0,Giỏi
191203898,7.3,14,0,5.8,13,0,7.0,14,3,6.0,14,2,5.2,6,3,6.9,9,0,7.5,3,0,8.5,12,0,Khá
191210022,7.4,14,0,8.1,13,0,6.2,17,0,7.7,16,0,8.3,9,0,7.6,9,0,7.7,3,0,8.3,2,10,Khá
191210051,8.2,14,0,7.3,13,0,6.4,17,0,8.1,16,0,9.6,9,0,9.2,9,0,7.6,3,0,9.0,12,0,Giỏi
191210080,6.9,14,0,6.8,13,0,7.4,17,0,7.9,16,0,8.0,9,0,8.4,9,0,8.7,3,0,8.0,2,10,Khá
191200178,8.2,14,0,7.5,13,0,7.1,17,0,8.2,10,6,8.4,9,0,7.7,9,0,7.7,3,0,8.2,12,0,Giỏi
191203034,6.0,14,0,6.7,13,0,6.8,14,3,6.9,16,0,8.0,9,0,7.0,6,3,8.3,3,0,8.2,12,0,Khá
191213048,6.4,14,0,7.6,13,0,6.6,17,0,8.2,14,2,7.9,9,0,7.4,9,0,8.3,3,0,8.3,12,0,Khá
191204123,7.7,14,0,7.6,13,0,6.9,17,0,8.2,16,0,8.1,9,0,8.5,9,0,7.3,3,0,8.4,12,0,Giỏi
191200302,7.4,14,0,7.9,13,0,6.7,17,0,7.9,16,0,8.2,9,0,7.7,9,0,8.0,3,0,8.0,12,0,Khá
191210311,7.4,14,0,7.3,13,0,6.2,17,0,7.4,16,0,8.5,9,0,8.3,9,0,7.0,3,0,8.2,12,0,Khá
191201745,7.0,14,0,8.7,11,2,6.2,17,0,7.4,16,0,7.9,9,0,7.0,9,0,6.2,3,0,7.9,12,0,Khá
191202823,6.8,14,0,7.0,10,3,5.7,17,0,6.7,16,0,7.7,9,0,5.7,9,0,7.4,3,0,7.9,12,0,Khá
191203648,7.8,14,0,8.2,13,0,6.4,17,0,8.5,16,0,8.8,9,0,8.6,9,0,8.3,3,0,8.2,12,0,Giỏi
191202033,9.0,14,0,8.3,13,0,6.8,17,0,8.3,16,0,8.1,9,0,6.9,9,0,6.9,3,0,7.8,12,0,Giỏi
191204463,6.9,14,0,7.0,10,3,6.2,14,3,7.0,13,3,7.5,6,3,5.2,9,0,7.5,3,0,7.7,12,0,Khá
191203659,7.2,14,0,7.4,13,0,7.7,17,0,7.5,16,0,8.2,9,0,8.4,9,0,8.0,3,0,9.0,12,0,Giỏi
191240436,7.3,14,0,7.2,13,0,6.5,17,0,8.7,16,0,8.4,9,0,6.8,9,0,9.0,3,0,8.3,12,0,Khá
191211759,8.1,14,0,7.5,13,0,7.4,17,0,6.8,16,0,6.5,9,0,5.5,9,0,6.6,3,0,6.5,12,0,Khá
191202056,8.8,14,0,7.3,13,0,7.2,17,0,8.4,16,0,9.3,9,0,8.2,9,0,9.0,3,0,8.4,12,0,Giỏi
191203216,8.3,14,0,8.8,13,0,7.9,17,0,9.1,16,0,9.5,9,0,8.8,9,0,9.0,3,0,8.8,12,0,Giỏi
191204490,7.2,11,3,7.3,7,6,5.2,14,3,6.3,16,0,6.1,9,0,6.1,9,0,6.3,3,0,8.1,12,0,Khá
191200592,6.8,14,0,7.3,13,0,6.4,17,0,8.2,16,0,8.6,9,0,6.7,9,0,6.3,3,0,8.4,12,0,Khá
191204229,7.3,14,0,7.6,10,3,5.4,11,6,6.7,14,2,7.4,9,0,6.4,6,3,7.5,3,0,7.7,12,0,Khá
191200637,6.7,11,3,6.2,10,3,6.8,15,2,7.0,16,0,6.7,9,0,5.2,9,0,8.7,3,0,7.4,12,0,Khá
191204248,6.8,14,0,6.2,13,0,5.9,14,3,7.2,16,0,7.0,9,0,6.2,9,0,8.4,3,0,8.3,12,0,Khá
191200703,9.3,14,0,9.0,13,0,8.0,17,0,8.6,14,2,9.0,9,0,7.3,9,0,9.0,3,0,8.4,12,0,Giỏi
191210709,7.8,14,0,7.7,13,0,6.9,14,3,7.0,16,0,8.2,9,0,9.0,9,0,7.7,3,0,8.7,2,10,Khá
191202539,5.6,11,3,7.4,8,5,5.2,11,6,7.1,16,0,7.5,9,0,5.3,6,3,8.3,3,0,8.6,12,0,Khá
191202107,8.4,14,0,7.7,13,0,7.5,14,3,7.6,16,0,8.7,9,0,8.2,9,0,9.0,3,0,8.8,12,0,Giỏi
